fecha_extraccion,titulo,empresa,fuente,url,descripcion_breve
2025-12-29,"✨ Desarrollo y mantenimiento de aplicaciones web con Node.js y React, utilizando Sequelize para bases de datos. Involucra modelado de sistemas, buenas prácticas y colaboración en equipos ágiles.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/full-stack-developer-react-node-js-autored-remote-9c8d,"✨ Desarrollo y mantenimiento de aplicaciones web con Node.js y React, utilizando Sequelize para bases de datos. Involucra modelado de sistemas, buenas prácticas y colaboración en equipos ágiles."
2025-12-29,"✨ Desarrollador Full-Stack con experiencia en Spring Boot (Java) para backend y frameworks Typescript para frontend, especialmente Angular. Se requiere manejo de bases de datos MongoDB o SQL y nivel intermedio de inglés para documentación técnica.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/desarrollador-full-stack-sistadem-santiago-8dc2,"✨ Desarrollador Full-Stack con experiencia en Spring Boot (Java) para backend y frameworks Typescript para frontend, especialmente Angular. Se requiere manejo de bases de datos MongoDB o SQL y nivel intermedio de inglés para documentación técnica."
2025-12-29,"✨ Especialista en empaquetado y despliegue de aplicaciones empresariales, con experiencia en MSI, PSADT, MECM e Intune, capaz de gestionar procesos estructurados y resolver problemas técnicos en entornos Windows.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/application-packager-improving-south-america-remote,"✨ Especialista en empaquetado y despliegue de aplicaciones empresariales, con experiencia en MSI, PSADT, MECM e Intune, capaz de gestionar procesos estructurados y resolver problemas técnicos en entornos Windows."
2025-12-29,"✨ Desarrollador backend con experiencia en Python, ETL/ELT, APIs RESTful y AWS, especializado en automatización y optimización de pipelines de datos. Requiere habilidades en bases de datos SQL, Git y buenas prácticas de desarrollo.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/desarrollador-back-end-python-agencia-de-aduanas-felipe-serrano-remote,"✨ Desarrollador backend con experiencia en Python, ETL/ELT, APIs RESTful y AWS, especializado en automatización y optimización de pipelines de datos. Requiere habilidades en bases de datos SQL, Git y buenas prácticas de desarrollo."
2025-12-29,"✨ Desarrollo y escalamiento de soluciones IoT con datos en tiempo real, combinando componentes hardware y software. Requiere experiencia en Python, Golang, bases de datos no relacionales y Linux para crear infraestructuras desde cero y mejorar sistemas existentes.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/ingeniero-civil-informatico-desarrollador-talent-consulting-partner-rancagua,"✨ Desarrollo y escalamiento de soluciones IoT con datos en tiempo real, combinando componentes hardware y software. Requiere experiencia en Python, Golang, bases de datos no relacionales y Linux para crear infraestructuras desde cero y mejorar sistemas existentes."
2025-12-29,"✨ Desarrollador de Microsoft Dynamics 365 F&O experto en X++ y Visual Studio, responsable de crear soluciones técnicas, integraciones y mantener datos robustos para entornos financieros y operativos institucionales.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/desarrollador-microsoft-dynamics-365-f-amp-o-nvm-gestion-de-talentos-santiago,"✨ Desarrollador de Microsoft Dynamics 365 F&O experto en X++ y Visual Studio, responsable de crear soluciones técnicas, integraciones y mantener datos robustos para entornos financieros y operativos institucionales."
2025-12-29,"✨ Liderar técnicamente un squad en arquitectura escalable, CI/CD, cloud y observabilidad, colaborando con producto y diseño; mentorizar el equipo y garantizar calidad, seguridad y confiabilidad.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/engineering-team-lead-2brains-remote,"✨ Liderar técnicamente un squad en arquitectura escalable, CI/CD, cloud y observabilidad, colaborando con producto y diseño; mentorizar el equipo y garantizar calidad, seguridad y confiabilidad."
2025-12-29,"✨ Desarrollador Java con 2-4 años en frameworks Spring Boot e Hibernate, experiencia en web scraping, manejo de bases de datos relacionales y fundamentos de IA para integrar soluciones de extracción de datos.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/java-developer-ssr-ingenieria-de-datos-y-web-scraping-retailcompass-remote,"✨ Desarrollador Java con 2-4 años en frameworks Spring Boot e Hibernate, experiencia en web scraping, manejo de bases de datos relacionales y fundamentos de IA para integrar soluciones de extracción de datos."
2025-12-29,"✨ Desarrollo frontend con React, TypeScript y TailwindCSS para crear interfaces responsivas y reutilizables, integrando APIs REST y diseñando mejoras UX basadas en requisitos de negocio.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/jobs/programming/frontend-developer-ui-ux-palvi-santiago,"✨ Desarrollo frontend con React, TypeScript y TailwindCSS para crear interfaces responsivas y reutilizables, integrando APIs REST y diseñando mejoras UX basadas en requisitos de negocio."
2025-12-29,"✨ Desarrollador Full Stack con 3 años experiencia en React, Ruby on Rails y Node, enfocado en estandarización, arquitectura de software y testing. Rol clave para optimizar plataforma y definir mejores prácticas técnicas.",GetOnBoard,GetOnBoard,https://www.getonbrd.com/empleos/programacion/semi-senior-full-stack-developer-agendapro-remote-eb59,"✨ Desarrollador Full Stack con 3 años experiencia en React, Ruby on Rails y Node, enfocado en estandarización, arquitectura de software y testing. Rol clave para optimizar plataforma y definir mejores prácticas técnicas."
